accident_year,DY1,DY2,DY3,DY4,DY5,DY6,DY7,DY8,DY9,DY10
1,88827741.311,87934414.45560001,19779354.169999987,10467331.658899993,5670418.920000017,2721459.724000007,3066518.2700000107,1468397.0899999738,1198008.8500000238,845314.1899999678
2,74973889.14609998,79791780.74430001,22300673.965000004,8827515.013999999,5885219.574000001,1991789.8840000033,1287265.873999983,702877.7300000191,246396.05800002813,422313.1899999678
3,68440400.51370001,90387709.50349998,23321817.711000025,7977046.110399991,3869843.919999987,2368954.722000003,2810928.4399999976,732262.6420000196,1837430.919999957,421648.780000031
4,68643195.67390001,81896176.7268,27067274.322100013,8178420.2079999745,3307472.8049999774,1731336.7100000381,2536659.7610000074,1161421.4079999626,559255.2900000215,747204.2800000012
5,69039106.539,104260487.54129997,20860359.325000048,9276256.54639998,4211983.833000004,1648625.2089999914,1973968.3374000192,587905.7409999669,990286.5800000131,92053.87999999523
6,64067238.4688,87119121.20499998,30876864.17200002,6095539.970999986,11318976.740999997,2406469.7700000107,444103.5940000117,3091180.6359999776,581349.4900000095,3388105.9099999964
7,64577288.64900001,82964094.10599998,24222157.411000013,8013001.578999996,2188551.3819999993,1698037.2000000179,2005933.9349999726,5240827.872999996,188231.80000001192,100638.71999999881
8,67866464.0243,83663633.8904,34817988.86399999,6694085.187999994,7615724.070000023,2280586.9900000095,1540530.6929999888,755894.3170000017,1597437.199999988,297142.5600000322
9,72422230.48550001,85482979.10629997,20704437.19840002,4266727.972000003,3389112.452000022,1580867.173999995,1000743.2799999714,2075959.080000013,183036.34000000358,647948.0200000107
10,68286305.094,65454072.51100001,16935554.100999996,9129734.43899998,2541870.158000022,2816108.469999999,389265.59999999404,461793.66799998283,782670.3300000131,72974.30000001192
